year,month,day,hour,windspeed_100m,winddir_100m,temp_100m,wpd,season,datetime,winddir_bin,power_kw
2017,1,1,0,0.88,28.98,18.52,0.4174016,Winter,2017-01-01 00:00:00,0,0
2017,1,1,1,1.48,335.1,19.27,1.9855976,Winter,2017-01-01 01:00:00,330,0
2017,1,1,2,2.59,331.17,20.76,10.6415621375,Winter,2017-01-01 02:00:00,330,0
2017,1,1,3,1.64,345.77,18.65,2.7017031999999994,Winter,2017-01-01 03:00:00,330,0
2017,1,1,4,1.33,27.32,18.96,1.4409901625000003,Winter,2017-01-01 04:00:00,0,0
2017,1,1,5,1.15,14.63,20.53,0.9315359375,Winter,2017-01-01 05:00:00,0,0
2017,1,1,6,2.11,12.8,22.03,5.7537827375,Winter,2017-01-01 06:00:00,0,0
2017,1,1,7,1.55,12.28,23.07,2.2808734375000004,Winter,2017-01-01 07:00:00,0,0
2017,1,1,8,1.04,23.01,24.13,0.6889792000000001,Winter,2017-01-01 08:00:00,0,0
2017,1,1,9,0.81,7.19,24.39,0.32550761250000004,Winter,2017-01-01 09:00:00,0,0
2017,1,1,10,0.93,349.23,23.86,0.4926686625000001,Winter,2017-01-01 10:00:00,330,0
2017,1,1,11,2.17,293.87,22.54,6.258716712499999,Winter,2017-01-01 11:00:00,270,0
2017,1,1,12,2.16,273.83,21.19,6.1725888000000015,Winter,2017-01-01 12:00:00,270,0
2017,1,1,13,1.95,308.25,21.91,4.5416109375,Winter,2017-01-01 13:00:00,300,0
2017,1,1,14,2.52,312.41,21.91,9.801842400000002,Winter,2017-01-01 14:00:00,300,0
2017,1,1,15,2.24,318.88,22.48,6.884147200000003,Winter,2017-01-01 15:00:00,300,0
2017,1,1,16,3.42,326.3,22.53,24.5010339,Winter,2017-01-01 16:00:00,300,0
2017,1,1,17,3.86,353.72,22.4,35.2263793,Winter,2017-01-01 17:00:00,330,80
2017,1,1,18,4.1,359.09000000000003,21.92,42.21411249999999,Winter,2017-01-01 18:00:00,330,80
2017,1,1,19,4.58,355.38,21.3,58.8440461,Winter,2017-01-01 19:00:00,330,180
2017,1,1,20,4.26,344.08,20.22,47.3516253,Winter,2017-01-01 20:00:00,330,80
2017,1,1,21,4.4,331.24,19.26,52.17520000000002,Winter,2017-01-01 21:00:00,330,80
2017,1,1,22,4.11,329.05,19.15,42.52375023750001,Winter,2017-01-01 22:00:00,300,80
2017,1,1,23,3.66,346.09000000000003,19.24,30.029586300000005,Winter,2017-01-01 23:00:00,330,80
2017,1,2,0,3.69,7.5,18.5,30.774088012500002,Winter,2017-01-02 00:00:00,0,80
2017,1,2,1,3.97,4.39,18.88,38.324598462500006,Winter,2017-01-02 01:00:00,0,80
2017,1,2,2,3.08,338.61,18.34,17.896093600000004,Winter,2017-01-02 02:00:00,330,0
2017,1,2,3,1.98,313.34000000000003,17.990000000000002,4.754465100000001,Winter,2017-01-02 03:00:00,300,0
2017,1,2,4,1.54,318.59000000000003,20.36,2.2370117000000005,Winter,2017-01-02 04:00:00,300,0
2017,1,2,5,2.34,315.6,22.45,7.847903699999999,Winter,2017-01-02 05:00:00,300,0
2017,1,2,6,1.26,25.38,23.85,1.2252303000000002,Winter,2017-01-02 06:00:00,0,0
2017,1,2,7,1.17,65.98,24.3,0.9809879624999999,Winter,2017-01-02 07:00:00,60,0
2017,1,2,8,0.95,189.27,24.88,0.5251421875,Winter,2017-01-02 08:00:00,180,0
2017,1,2,9,1.8,241.05,25.2,3.5721000000000007,Winter,2017-01-02 09:00:00,240,0
2017,1,2,10,2.4,255.86,24.66,8.4672,Winter,2017-01-02 10:00:00,240,0
2017,1,2,11,1.48,325.95,23.53,1.9855976,Winter,2017-01-02 11:00:00,300,0
2017,1,2,12,2.17,312.88,22.59,6.258716712499999,Winter,2017-01-02 12:00:00,300,0
2017,1,2,13,2.9,325.67,22.81,14.9382625,Winter,2017-01-02 13:00:00,300,0
2017,1,2,14,1.18,332.43,22.28,1.0063571,Winter,2017-01-02 14:00:00,330,0
2017,1,2,15,1.7,324.44,22.43,3.0092125,Winter,2017-01-02 15:00:00,300,0
2017,1,2,16,3.5700000000000003,293.59000000000003,22.88,27.868316962500007,Winter,2017-01-02 16:00:00,270,80
2017,1,2,17,2.74,305.46,20.99,12.599629700000005,Winter,2017-01-02 17:00:00,300,0
2017,1,2,18,3.3000000000000003,336.51,19.69,22.01141250000001,Winter,2017-01-02 18:00:00,330,0
2017,1,2,19,3.53,338.59000000000003,20.49,26.9420234125,Winter,2017-01-02 19:00:00,330,80
2017,1,2,20,1.67,264.99,19.13,2.8526960874999996,Winter,2017-01-02 20:00:00,240,0
2017,1,2,21,1.23,304.08,19.48,1.1397810375,Winter,2017-01-02 21:00:00,300,0
2017,1,2,22,1.68,13.49,20.02,2.9042495999999995,Winter,2017-01-02 22:00:00,0,0
2017,1,2,23,2.63,351.39,18.25,11.142261287499998,Winter,2017-01-02 23:00:00,330,0
2017,1,3,0,3.46,345.77,18.9,25.3708133,Winter,2017-01-03 00:00:00,330,0
2017,1,3,1,1.49,349.31,20.56,2.0261187625,Winter,2017-01-03 01:00:00,330,0
2017,1,3,2,0.93,30.99,20.89,0.4926686625000001,Winter,2017-01-03 02:00:00,30,0
2017,1,3,3,3.68,300.99,18.93,30.524569600000003,Winter,2017-01-03 03:00:00,300,80
2017,1,3,4,3.12,313.22,20.58,18.602438400000004,Winter,2017-01-03 04:00:00,300,0
2017,1,3,5,2.47,316.14,21.87,9.229899087500002,Winter,2017-01-03 05:00:00,300,0
2017,1,3,6,2.08,317.58,23.03,5.511833600000001,Winter,2017-01-03 06:00:00,300,0
2017,1,3,7,1.4,319.34000000000003,24.07,1.6806999999999996,Winter,2017-01-03 07:00:00,300,0
2017,1,3,8,2.19,301.45,24.96,6.4333686375,Winter,2017-01-03 08:00:00,300,0
2017,1,3,9,2.96,309.16,24.45,15.8847808,Winter,2017-01-03 09:00:00,300,0
2017,1,3,10,2.73,311.32,24.35,12.4621804125,Winter,2017-01-03 10:00:00,300,0
2017,1,3,11,3.95,329.56,22.89,37.748298437500004,Winter,2017-01-03 11:00:00,300,80
2017,1,3,12,3.08,328.97,21.96,17.896093600000004,Winter,2017-01-03 12:00:00,300,0
2017,1,3,13,3.9,311.43,22.94,36.3328875,Winter,2017-01-03 13:00:00,300,80
2017,1,3,14,3.3000000000000003,308.83,23.14,22.01141250000001,Winter,2017-01-03 14:00:00,300,0
2017,1,3,15,4.39,318.97,22.74,51.820267887499995,Winter,2017-01-03 15:00:00,300,80
2017,1,3,16,3.3200000000000003,340.77,22.76,22.414050400000008,Winter,2017-01-03 16:00:00,330,0
2017,1,3,17,4.65,322.98,21.87,61.58358281250002,Winter,2017-01-03 17:00:00,300,180
2017,1,3,18,4.17,315.19,21.5,44.413424212500004,Winter,2017-01-03 18:00:00,300,80
2017,1,3,19,5.13,312.77,19.95,82.6909894125,Winter,2017-01-03 19:00:00,300,180
2017,1,3,20,3.8,350.99,17.66,33.6091,Winter,2017-01-03 20:00:00,330,80
