year,month,day,hour,windspeed_100m,winddir_100m,temp_100m,wpd,season,datetime,winddir_bin,power_kw,wspd_lag_1,temp_lag_1,dir_lag_1,wspd_lag_3,temp_lag_3,dir_lag_3,wspd_lag_6,temp_lag_6,dir_lag_6,wspd_lag_12,temp_lag_12,dir_lag_12,wspd_lag_24,temp_lag_24,dir_lag_24
2017,1,2,0,3.69,7.5,18.5,30.774088012500002,Winter,2017-01-02 00:00:00,0,80,3.66,19.24,346.09000000000003,4.4,19.26,331.24,4.1,21.92,359.09000000000003,2.16,21.19,273.83,0.88,18.52,28.98
2017,1,2,1,3.97,4.39,18.88,38.324598462500006,Winter,2017-01-02 01:00:00,0,80,3.69,18.5,7.5,4.11,19.15,329.05,4.58,21.3,355.38,1.95,21.91,308.25,1.48,19.27,335.1
2017,1,2,2,3.08,338.61,18.34,17.896093600000004,Winter,2017-01-02 02:00:00,330,0,3.97,18.88,4.39,3.66,19.24,346.09000000000003,4.26,20.22,344.08,2.52,21.91,312.41,2.59,20.76,331.17
2017,1,2,3,1.98,313.34000000000003,17.990000000000002,4.754465100000001,Winter,2017-01-02 03:00:00,300,0,3.08,18.34,338.61,3.69,18.5,7.5,4.4,19.26,331.24,2.24,22.48,318.88,1.64,18.65,345.77
2017,1,2,4,1.54,318.59000000000003,20.36,2.2370117000000005,Winter,2017-01-02 04:00:00,300,0,1.98,17.990000000000002,313.34000000000003,3.97,18.88,4.39,4.11,19.15,329.05,3.42,22.53,326.3,1.33,18.96,27.32
2017,1,2,5,2.34,315.6,22.45,7.847903699999999,Winter,2017-01-02 05:00:00,300,0,1.54,20.36,318.59000000000003,3.08,18.34,338.61,3.66,19.24,346.09000000000003,3.86,22.4,353.72,1.15,20.53,14.63
2017,1,2,6,1.26,25.38,23.85,1.2252303000000002,Winter,2017-01-02 06:00:00,0,0,2.34,22.45,315.6,1.98,17.990000000000002,313.34000000000003,3.69,18.5,7.5,4.1,21.92,359.09000000000003,2.11,22.03,12.8
2017,1,2,7,1.17,65.98,24.3,0.9809879624999999,Winter,2017-01-02 07:00:00,60,0,1.26,23.85,25.38,1.54,20.36,318.59000000000003,3.97,18.88,4.39,4.58,21.3,355.38,1.55,23.07,12.28
2017,1,2,8,0.95,189.27,24.88,0.5251421875,Winter,2017-01-02 08:00:00,180,0,1.17,24.3,65.98,2.34,22.45,315.6,3.08,18.34,338.61,4.26,20.22,344.08,1.04,24.13,23.01
2017,1,2,9,1.8,241.05,25.2,3.5721000000000007,Winter,2017-01-02 09:00:00,240,0,0.95,24.88,189.27,1.26,23.85,25.38,1.98,17.990000000000002,313.34000000000003,4.4,19.26,331.24,0.81,24.39,7.19
2017,1,2,10,2.4,255.86,24.66,8.4672,Winter,2017-01-02 10:00:00,240,0,1.8,25.2,241.05,1.17,24.3,65.98,1.54,20.36,318.59000000000003,4.11,19.15,329.05,0.93,23.86,349.23
2017,1,2,11,1.48,325.95,23.53,1.9855976,Winter,2017-01-02 11:00:00,300,0,2.4,24.66,255.86,0.95,24.88,189.27,2.34,22.45,315.6,3.66,19.24,346.09000000000003,2.17,22.54,293.87
2017,1,2,12,2.17,312.88,22.59,6.258716712499999,Winter,2017-01-02 12:00:00,300,0,1.48,23.53,325.95,1.8,25.2,241.05,1.26,23.85,25.38,3.69,18.5,7.5,2.16,21.19,273.83
2017,1,2,13,2.9,325.67,22.81,14.9382625,Winter,2017-01-02 13:00:00,300,0,2.17,22.59,312.88,2.4,24.66,255.86,1.17,24.3,65.98,3.97,18.88,4.39,1.95,21.91,308.25
2017,1,2,14,1.18,332.43,22.28,1.0063571,Winter,2017-01-02 14:00:00,330,0,2.9,22.81,325.67,1.48,23.53,325.95,0.95,24.88,189.27,3.08,18.34,338.61,2.52,21.91,312.41
2017,1,2,15,1.7,324.44,22.43,3.0092125,Winter,2017-01-02 15:00:00,300,0,1.18,22.28,332.43,2.17,22.59,312.88,1.8,25.2,241.05,1.98,17.990000000000002,313.34000000000003,2.24,22.48,318.88
2017,1,2,16,3.5700000000000003,293.59000000000003,22.88,27.868316962500007,Winter,2017-01-02 16:00:00,270,80,1.7,22.43,324.44,2.9,22.81,325.67,2.4,24.66,255.86,1.54,20.36,318.59000000000003,3.42,22.53,326.3
2017,1,2,17,2.74,305.46,20.99,12.599629700000005,Winter,2017-01-02 17:00:00,300,0,3.5700000000000003,22.88,293.59000000000003,1.18,22.28,332.43,1.48,23.53,325.95,2.34,22.45,315.6,3.86,22.4,353.72
2017,1,2,18,3.3000000000000003,336.51,19.69,22.01141250000001,Winter,2017-01-02 18:00:00,330,0,2.74,20.99,305.46,1.7,22.43,324.44,2.17,22.59,312.88,1.26,23.85,25.38,4.1,21.92,359.09000000000003
2017,1,2,19,3.53,338.59000000000003,20.49,26.9420234125,Winter,2017-01-02 19:00:00,330,80,3.3000000000000003,19.69,336.51,3.5700000000000003,22.88,293.59000000000003,2.9,22.81,325.67,1.17,24.3,65.98,4.58,21.3,355.38
2017,1,2,20,1.67,264.99,19.13,2.8526960874999996,Winter,2017-01-02 20:00:00,240,0,3.53,20.49,338.59000000000003,2.74,20.99,305.46,1.18,22.28,332.43,0.95,24.88,189.27,4.26,20.22,344.08
2017,1,2,21,1.23,304.08,19.48,1.1397810375,Winter,2017-01-02 21:00:00,300,0,1.67,19.13,264.99,3.3000000000000003,19.69,336.51,1.7,22.43,324.44,1.8,25.2,241.05,4.4,19.26,331.24
2017,1,2,22,1.68,13.49,20.02,2.9042495999999995,Winter,2017-01-02 22:00:00,0,0,1.23,19.48,304.08,3.53,20.49,338.59000000000003,3.5700000000000003,22.88,293.59000000000003,2.4,24.66,255.86,4.11,19.15,329.05
2017,1,2,23,2.63,351.39,18.25,11.142261287499998,Winter,2017-01-02 23:00:00,330,0,1.68,20.02,13.49,1.67,19.13,264.99,2.74,20.99,305.46,1.48,23.53,325.95,3.66,19.24,346.09000000000003
2017,1,3,0,3.46,345.77,18.9,25.3708133,Winter,2017-01-03 00:00:00,330,0,2.63,18.25,351.39,1.23,19.48,304.08,3.3000000000000003,19.69,336.51,2.17,22.59,312.88,3.69,18.5,7.5
2017,1,3,1,1.49,349.31,20.56,2.0261187625,Winter,2017-01-03 01:00:00,330,0,3.46,18.9,345.77,1.68,20.02,13.49,3.53,20.49,338.59000000000003,2.9,22.81,325.67,3.97,18.88,4.39
2017,1,3,2,0.93,30.99,20.89,0.4926686625000001,Winter,2017-01-03 02:00:00,30,0,1.49,20.56,349.31,2.63,18.25,351.39,1.67,19.13,264.99,1.18,22.28,332.43,3.08,18.34,338.61
2017,1,3,3,3.68,300.99,18.93,30.524569600000003,Winter,2017-01-03 03:00:00,300,80,0.93,20.89,30.99,3.46,18.9,345.77,1.23,19.48,304.08,1.7,22.43,324.44,1.98,17.990000000000002,313.34000000000003
2017,1,3,4,3.12,313.22,20.58,18.602438400000004,Winter,2017-01-03 04:00:00,300,0,3.68,18.93,300.99,1.49,20.56,349.31,1.68,20.02,13.49,3.5700000000000003,22.88,293.59000000000003,1.54,20.36,318.59000000000003
2017,1,3,5,2.47,316.14,21.87,9.229899087500002,Winter,2017-01-03 05:00:00,300,0,3.12,20.58,313.22,0.93,20.89,30.99,2.63,18.25,351.39,2.74,20.99,305.46,2.34,22.45,315.6
2017,1,3,6,2.08,317.58,23.03,5.511833600000001,Winter,2017-01-03 06:00:00,300,0,2.47,21.87,316.14,3.68,18.93,300.99,3.46,18.9,345.77,3.3000000000000003,19.69,336.51,1.26,23.85,25.38
