SiteID,41402,Site Timezone,6,Data Timezone,0,Longitude,90.42064,Latitude,23.803429
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),wind direction at 100m (deg),air temperature at 100m (C)
2017,1,1,0,0,0.88,28.98,18.52
2017,1,1,1,0,1.48,335.1,19.27
2017,1,1,2,0,2.59,331.17,20.76
2017,1,1,3,0,1.6400000000000001,345.77,18.650000000000002
2017,1,1,4,0,1.33,27.32,18.96
2017,1,1,5,0,1.1500000000000001,14.63,20.53
2017,1,1,6,0,2.11,12.8,22.03
2017,1,1,7,0,1.55,12.280000000000001,23.07
2017,1,1,8,0,1.04,23.01,24.13
2017,1,1,9,0,0.81,7.19,24.39
2017,1,1,10,0,0.93,349.23,23.86
2017,1,1,11,0,2.17,293.87,22.54
2017,1,1,12,0,2.16,273.83,21.19
2017,1,1,13,0,1.95,308.25,21.91
2017,1,1,14,0,2.52,312.41,21.91
2017,1,1,15,0,2.24,318.88,22.48
2017,1,1,16,0,3.42,326.3,22.53
2017,1,1,17,0,3.86,353.72,22.400000000000002
2017,1,1,18,0,4.1,359.09000000000003,21.92
2017,1,1,19,0,4.58,355.38,21.3
2017,1,1,20,0,4.26,344.08,20.22
2017,1,1,21,0,4.4,331.24,19.26
2017,1,1,22,0,4.11,329.05,19.150000000000002
2017,1,1,23,0,3.66,346.09000000000003,19.240000000000002
2017,1,2,0,0,3.69,7.5,18.5
2017,1,2,1,0,3.97,4.39,18.88
2017,1,2,2,0,3.08,338.61,18.34
2017,1,2,3,0,1.98,313.34000000000003,17.990000000000002
2017,1,2,4,0,1.54,318.59000000000003,20.36
2017,1,2,5,0,2.34,315.6,22.45
2017,1,2,6,0,1.26,25.38,23.85
2017,1,2,7,0,1.17,65.98,24.3
2017,1,2,8,0,0.9500000000000001,189.27,24.88
2017,1,2,9,0,1.8,241.05,25.2
2017,1,2,10,0,2.4,255.86,24.66
2017,1,2,11,0,1.48,325.95,23.53
2017,1,2,12,0,2.17,312.88,22.59
2017,1,2,13,0,2.9,325.67,22.81
2017,1,2,14,0,1.18,332.43,22.28
2017,1,2,15,0,1.7,324.44,22.43
2017,1,2,16,0,3.5700000000000003,293.59000000000003,22.88
2017,1,2,17,0,2.74,305.46,20.990000000000002
2017,1,2,18,0,3.3000000000000003,336.51,19.69
2017,1,2,19,0,3.5300000000000002,338.59000000000003,20.490000000000002
2017,1,2,20,0,1.67,264.99,19.13
2017,1,2,21,0,1.23,304.08,19.48
2017,1,2,22,0,1.68,13.49,20.02
2017,1,2,23,0,2.63,351.39,18.25
